HCR#,,As Of Date,Contract Origin (and Admin Official),,,Contract Destination,,,,,
031L0,,,MANCHESTER,,,,,,,,
Supplier Name,,,Supplier Address,,,Supplier Phone,,,Supplier Email,,
DDA TRANSPORT INC,,,"11 NAVIGATOR RD, LONDONDERRY, NH 03053-4403",,,(603) 647-4838,,,dwayne@ddaservicesinc.com,,
"Estimated Annual Schedule Miles: 3,062,397.5",,,,,,,,,,,
"Estimated Annual Schedule Hours: 155,882.68",,,,,,,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
1,1,30,MANCHESTER,02:00:00 ET,15 min,02:15:00 ET,45FT,1X,46,06/01/2024 06/30/2026,
1,2,030PM,NASHUA,02:55:00 ET,15 min,03:10:00 ET,,,,,
1,3,3060,NASHUA,03:30:00 ET,15 min,03:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,23.7,1.75?,?,?,1,,,,,
2,1,030PM,NASHUA,04:14:00 ET,15 min,04:29:00 ET,45FT,1X,46,12/06/2024 06/30/2026,
2,2,30,MANCHESTER,05:10:00 ET,15 min,05:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.18?,?,?,0.68,,,,,
3,1,30,MANCHESTER,02:00:00 ET,15 min,02:15:00 ET,45FT,K17,257,12/06/2024 06/30/2026,
3,2,3060,NASHUA,02:50:00 ET,15 min,03:05:00 ET,,,,,
3,3,030PM,NASHUA,03:30:00 ET,15 min,03:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,24,1.75?,?,?,1,,,,,
4,1,030PM,NASHUA,03:45:00 ET,15 min,04:00:00 ET,45FT,K17,257,12/06/2024 06/30/2026,
4,2,3060,NASHUA,04:25:00 ET,15 min,04:40:00 ET,,,,,
4,3,30,MANCHESTER,05:15:00 ET,15 min,05:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,22.7,1.75?,?,?,1,,,,,
5,1,30,MANCHESTER,02:15:00 ET,15 min,02:30:00 ET,45FT,K7,303,12/06/2024 06/30/2026,
5,2,3051,HUDSON,03:10:00 ET,15 min,03:25:00 ET,,,,,
5,3,030PM,NASHUA,03:45:00 ET,15 min,04:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,30.8,1.75?,?,?,1,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
6,1,030PM,NASHUA,04:00:00 ET,15 min,04:15:00 ET,45FT,K7,303,12/06/2024 06/30/2026,
6,2,3051,HUDSON,04:35:00 ET,15 min,04:50:00 ET,,,,,
6,3,30,MANCHESTER,05:30:00 ET,15 min,05:45:00 ET,,,,,
