id,trip_id,stop_number,nass_code,facility,arrive_time,load_unload,depart_time,vehicle,freq,freq_days,eff_date,exp_date,trip_miles,trip_hrs,drive_time
1,1,1,030,MANCHESTER,02:00:00 ET,15 min,02:15:00 ET,45FT,1x,46.0,06/01/2024,06/30/2026,,,,
2,1,2,030PM,NASHUA,02:55:00 ET,15 min,03:10:00 ET,,,0.0,0,,0.0,0.0,0.0
3,1,3,03060,NASHUA,03:30:00 ET,15 min,03:45:00 ET,,,0.0,0,,23.7,1.75,1.00
4,2,1,030PM,NASHUA,04:14:00 ET,15 min,04:29:00 ET,45FT,1x,46.0,12/06/2024,06/30/2026,,,,
5,2,2,030,MANCHESTER,05:10:00 ET,15 min,05:25:00 ET,,,0.0,0,,15.6,1.18,0.68
6,3,1,030,MANCHESTER,02:00:00 ET,15 min,02:15:00 ET,45FT,x17,257.0,12/06/2024,06/30/2026,,,,
7,3,2,03060,NASHUA,02:50:00 ET,15 min,03:05:00 ET,,,0.0,0,,24.0,1.75,1.00
8,3,3,030PM,NASHUA,03:30:00 ET,15 min,03:45:00 ET,,,0.0,0,,0.0,0.0,0.0
9,4,1,030PM,NASHUA,03:45:00 ET,15 min,04:00:00 ET,45FT,x17,257.0,12/06/2024,06/30/2026,,,,
10,4,2,03060,NASHUA,04:25:00 ET,15 min,04:40:00 ET,,,0.0,0,,22.7,1.75,1.00
11,4,3,030,MANCHESTER,05:15:00 ET,15 min,05:30:00 ET,,,0.0,0,,0.0,0.0,0.0
12,5,1,030,MANCHESTER,02:15:00 ET,15 min,02:30:00 ET,45FT,x7,303.0,12/06/2024,06/30/2026,,,,
13,5,2,03051,HUDSON,03:10:00 ET,15 min,03:25:00 ET,,,0.0,0,,30.8,1.75,1.00
14,5,3,030PM,NASHUA,03:45:00 ET,15 min,04:00:00 ET,,,0.0,0,,0.0,0.0,0.0
15,6,1,030PM,NASHUA,04:00:00 ET,15 min,04:15:00 ET,45FT,,0.0,0,,29.5,1.75,1.00
16,6,2,03051,HUDSON,04:35:00 ET,15 min,04:50:00 ET,,,0.0,0,,0.0,0.0,0.0
17,6,3,030,MANCHESTER,05:30:00 ET,15 min,05:45:00 ET,,,0.0,0,,0.0,0.0,0.0
18,7,1,030,MANCHESTER,05:15:00 ET,15 min,05:30:00 ET,45FT,,0.0,0,,22.8,1.48,0.93
19,7,2,03060,NASHUA,06:10:00 ET,9 min,06:50:00 ET,,,0.0,0,,0.0,0.0,0.0
20,7,3,03051,HUDSON,06:35:00 ET,9 min,06:44:00 ET,,,0.0,0,,0.0,0.0,0.0
21,8,1,03051,HUDSON,06:45:00 ET,9 min,06:54:00 ET,45FT,,0.0,0,,20.8,1.08,0.68
22,8,2,030,MANCHESTER,07:35:00 ET,15 min,07:50:00 ET,,,0.0,0,,0.0,0.0,0.0
23,9,1,030,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,45FT,,0.0,0,,22.0,1.07,0.67
24,9,2,03051,HUDSON,06:40:00 ET,9 min,06:49:00 ET,,,0.0,0,,0.0,0.0,0.0
25,10,1,03051,HUDSON,06:49:00 ET,6 min,06:55:00 ET,45FT,,0.0,0,,20.8,1.02,0.67
26,10,2,030,MANCHESTER,07:35:00 ET,15 min,07:50:00 ET,,,0.0,0,,0.0,0.0,0.0
27,11,1,030,MANCHESTER,05:50:00 ET,15 min,06:05:00 ET,45FT,,0.0,0,,18.7,1.07,0.67
28,11,2,03060,NASHUA,06:45:00 ET,9 min,06:54:00 ET,,,0.0,0,,0.0,0.0,0.0
29,12,1,03060,NASHUA,06:54:00 ET,6 min,07:00:00 ET,45FT,,0.0,0,,17.3,1.02,0.67
30,12,2,030,MANCHESTER,07:40:00 ET,15 min,07:55:00 ET,,,0.0,0,,0.0,0.0,0.0
31,13,1,030,MANCHESTER,09:45:00 ET,15 min,10:00:00 ET,45FT,9-608,60.0,12/06/2024,06/30/2026,,,,
32,13,2,03060,NASHUA,10:40:00 ET,9 min,10:49:00 ET,,,0.0,0,,22.8,1.48,0.93
33,13,3,03051,HUDSON,11:05:00 ET,9 min,11:14:00 ET,,,0.0,0,,0.0,0.0,0.0
34,14,1,03051,HUDSON,11:15:00 ET,9 min,11:24:00 ET,45FT,9-608,60.0,12/06/2024,06/30/2026,,,,
35,14,2,030,MANCHESTER,12:05:00 ET,15 min,12:20:00 ET,,,0.0,0,,20.8,1.08,0.68
36,15,1,030,MANCHESTER,12:55:00 ET,15 min,13:10:00 ET,45FT,K7,303.0,12/06/2024,06/30/2026,,,,
37,15,2,03060,NASHUA,13:45:00 ET,15 min,14:00:00 ET,,,0.0,0,,18.7,1.08,0.58
38,16,1,03060,NASHUA,14:01:00 ET,15 min,14:16:00 ET,45FT,K7,303.0,12/06/2024,06/30/2026,,,,
39,16,2,030,MANCHESTER,14:50:00 ET,15 min,15:05:00 ET,,,0.0,0,,17.3,1.07,0.57
40,17,1,030,MANCHESTER,15:10:00 ET,15 min,15:25:00 ET,45FT,K7,303.0,12/06/2024,06/30/2026,,,,
41,17,2,03060,NASHUA,16:01:00 ET,9 min,16:10:00 ET,,,0.0,0,,18.7,1.00,0.60
42,18,1,03060,NASHUA,16:11:00 ET,9 min,16:20:00 ET,45FT,K7,303.0,12/06/2024,06/30/2026,,,,
43,18,2,030,MANCHESTER,17:00:00 ET,15 min,17:15:00 ET,,,0.0,0,,17.3,1.07,0.67
44,19,1,030,MANCHESTER,16:45:00 ET,15 min,17:00:00 ET,45FT,K7,51.0,12/06/2024,06/30/2026,,,,
45,19,2,03051,HUDSON,17:35:00 ET,15 min,17:50:00 ET,,,0.0,0,,25.9,1.55,0.90
46,19,3,03060,NASHUA,18:09:00 ET,9 min,18:18:00 ET,,,0.0,0,,0.0,0.0,0.0
